"stream","date","year","TP_mt","SRP_mt","TKN_mt","water_year"
"Portage",2015-12-11,2015,0.00475810012232755,0.00356857509174566,0.0661558920854388,2016
"Portage",2015-12-12,2015,0.00684434402211733,0.00430059049518067,0.0834497559915909,2016
"Portage",2015-12-13,2015,0.00613005161193928,0.00413843146797589,0.0744917664235659,2016
"Portage",2015-12-14,2015,0.00627224984478748,0.00470137219066207,0.0621594598621667,2016
"Portage",2015-12-15,2015,0.0072422550689578,0.00517303933496986,0.0553515208841775,2016
"Portage",2015-12-16,2015,0.0087841848412201,0.00622213092919757,0.0599337611562413,2016
"Portage",2015-12-17,2015,0.00850967906493197,0.00658813863091507,0.0570056995425012,2016
"Portage",2015-12-18,2015,0.0095162002446551,0.00732015403435008,0.0561821822136369,2016
"Portage",2015-12-19,2015,0.00994542745848745,0.00785605194199849,0.0538223133047556,2016
"Portage",2015-12-20,2015,0.00955143093252096,0.00775075133048832,0.052846031798784,2016
"Portage",2015-12-21,2015,0.00874073365951887,0.00687928112091763,0.0479121696892146,2016
"Portage",2015-12-22,2015,0.0118183299706451,0.0094191201269803,0.0534046339275015,2016
"Portage",2015-12-23,2015,0.013876487183164,0.01144556972042,0.0601652072029156,2016
"Portage",2015-12-24,2015,0.0259048311986984,0.0129524155993492,0.163940574586048,2016
"Portage",2015-12-25,2015,0.0616889344531139,0.0407227606520556,0.300783954915183,2016
"Portage",2015-12-26,2015,0.0746112571732443,0.0417635338894261,0.366017488019689,2016
"Portage",2015-12-27,2015,0.415391829118358,0.15296968945311,2.22333531394778,2016
"Portage",2015-12-28,2015,1.96181351408355,0.501193233524995,7.81861444298992,2016
"Portage",2015-12-29,2015,7.71030943670897,1.47033807862822,29.4067615725645,2016
"Portage",2015-12-30,2015,6.15464458933008,1.63558468417236,20.0025949153228,2016
"Portage",2015-12-31,2015,1.50668929809426,0.476969689041673,5.13522506332717,2016
"Portage",2016-01-07,2016,0.0556351279214976,0.024221097907776,0.331021671406272,2016
"Portage",2016-01-08,2016,0.0243952940866683,0.0169577044260987,0.160354433081881,2016
"Portage",2016-01-09,2016,0.0283349168257567,0.0206848176132407,0.174343462740172,2016
