SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.149,,0.1,6845,NG/G DWT,"2,2',3,5'-TETRACHLOROBIPHENYL (PCB 44)","2,2',3,5'-TÉTRACHLOROBIPHÉNYLE (BPC 44)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.126,,0.1,6846,NG/G DWT,"2,2',3,6-TETRACHLOROBIPHENYL (PCB 45)","2,2',3,6-TÉTRACHLOROBIPHÉNYLE (BPC 45)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.126,,0.1,6847,NG/G DWT,"2,2',3,6'-TETRACHLOROBIPHENYL (PCB 46)","2,2',3,6'-TÉTRACHLOROBIPHÉNYLE (BPC 46)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0735,,0.1,6822,NG/G DWT,"2,2',3/2,4',6-TRICHLOROBIPHENYL (PCB 16/32)","2,2',3/2,4',6-TRICHLOROBIPHÉNYLE (BPC 16/32)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,0.069,,0.1,6930,NG/G DWT,"2,2',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 153)","2,2',4,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 153)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0402,,0.1,6884,NG/G DWT,"2,2',4,4',5-PENTACHLOROBIPHENYL (PCB 99)","2,2',4,4',5-PENTACHLOROBIPHÉNYLE (BPC 99)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0968,,0.1,6849,NG/G DWT,"2,2',4,6-TETRACHLOROBIPHENYL (PCB 50)","2,2',4,6-TÉTRACHLOROBIPHÉNYLE (BPC 50)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0735,,0.1,6823,NG/G DWT,"2,2',4-TRICHLOROBIPHENYL (PCB 17)","2,2',4-TRICHLOROBIPHÉNYLE (BPC 17)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0735,,0.1,6824,NG/G DWT,"2,2',5-TRICHLOROBIPHENYL (PCB 18)","2,2',5-TRICHLOROBIPHÉNYLE (BPC 18)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0799,,0.1,6825,NG/G DWT,"2,2',6-TRICHLOROBIPHENYL (PCB 19)","2,2',6-TRICHLOROBIPHÉNYLE (BPC 19)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0508,,0.1,6907,NG/G DWT,"2,2'3,3',4,4'-HEXACHLOROBIPHENYL (PCB 128)","2,2'3,3',4,4'-HEXACHLOROBIPHÉNYLE (BPC 128)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0868,,0.1,6973,NG/G DWT,"2,3,3',4,4',5,5',6-OCTACHLOROBIPHENYL (PCB 205)","2,3,3',4,4',5,5',6-OCTACHLOROBIPHÉNYLE (BPC 205)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0478,,0.1,6961,NG/G DWT,"2,3,3',4,4',5',6-HEPTACHLOROBIPHENYL (PCB 191)","2,3,3',4,4',5',6-HEPTACHLOROBIPHÉNYLE (BPC 191)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0382,,0.1,6933,NG/G DWT,"2,3,3',4,4',5-HEXACHLOROBIPHENYL (PCB 156)","2,3,3',4,4',5-HEXACHLOROBIPHÉNYLE (BPC 156)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0392,,0.1,6934,NG/G DWT,"2,3,3',4,4',5'-HEXACHLOROBIPHENYL (PCB 157)","2,3,3',4,4',5'-HEXACHLOROBIPHÉNYLE (BPC 157)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0478,,0.1,6962,NG/G DWT,"2,3,3',4',5,5',6-HEPTACHLOROBIPHENYL (PCB 193)","2,3,3',4',5,5',6-HEPTACHLOROBIPHÉNYLE (BPC 193)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0713,,0.1,6891,NG/G DWT,"2,3,3',4',6-PENTACHLOROBIPHENYL (PCB 110)","2,3,3',4',6-PENTACHLOROBIPHÉNYLE (BPC 110)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0882,,0.1,6855,NG/G DWT,"2,3,3',4'/2,3,4,4'-TETRACHLOROBIPHENYL (PCB 56/60)","2,3,3',4'/2,3,4,4'-TÉTRACHLOROBIPHÉNYLE (BPC 56/60)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0377,,0.1,6941,NG/G DWT,"2,3',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 167)","2,3',4,4',5,5'-HEXACHLOROBIPHÉNYLE (PCB 167)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0667,,0.1,6895,NG/G DWT,"2,3,4,4',5-PENTACHLOROBIPHENYL (PCB 114)","2,3,4,4',5-PENTACHLOROBIPHÉNYLE (BPC 114)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0651,,0.1,6898,NG/G DWT,"2',3,4,4',5-PENTACHLOROBIPHENYL (PCB 123)","2',3,4,4',5-PENTACHLOROBIPHÉNYLE (BPC 123)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0855,,0.1,6864,NG/G DWT,"2,3',4',5/2,3',4',5'-TETRACHLOROBIPHENYL (PCB 70/76)","2,3',4',5/2,3',4',5'-TÉTRACHLOROBIPHÉNYLE (BPC 70/76)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0544,,0.1,6827,NG/G DWT,"2,3,4'-TRICHLOROBIPHENYL (PCB 22)","2,3,4'-TRICHLOROBIPHÉNYLE (BPC 22)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0471,,0.1,6830,NG/G DWT,"2,3',4-TRICHLOROBIPHENYL (PCB 25)","2,3',4-TRICHLOROBIPHÉNYLE (BPC 25)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0471,,0.1,6831,NG/G DWT,"2,3',5-TRICHLOROBIPHENYL (PCB 26)","2,3',5-TRICHLOROBIPHÉNYLE (BPC 26)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,1.99,,1,1525,NG/G,"2,3,5-TRIMETHYLNAPHTHALENE","2,3,5-TRIMÉTHYLNAPHTALÈNE",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0735,,0.1,6829,NG/G DWT,"2,3,6/2,3',6-TRICHLOROBIPHENYL (PCB 24/27)","2,3,6/2,3',6-TRICHLOROBIPHÉNYLE (BPC 24/27)",P
